BUSINESS_CODE,BUSINESS_NAME_L,BUSINESS_NAME_M,BUSINESS_NAME_S
1104023,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車内装業
1104027,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,中古車買取・鈑金・塗装業
1104028,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車整備業
1105001,自動車・オートバイ・自転車・ドライブ,洗車・洗車場,自動車洗車業
1106003,自動車・オートバイ・自転車・ドライブ,パーキング・駐輪場,駐車場業
1106004,自動車・オートバイ・自転車・ドライブ,パーキング・駐輪場,駐輪場業
1107001,自動車・オートバイ・自転車・ドライブ,ガソリンスタンド,液化石油ガス（ＬＰＧ）スタンド
1107003,自動車・オートバイ・自転車・ドライブ,ガソリンスタンド,ガソリンスタンド
1108001,自動車・オートバイ・自転車・ドライブ,代行サービス,車検代行サービス業
1108002,自動車・オートバイ・自転車・ドライブ,代行サービス,中古車買取車検代行サービス業
1108003,自動車・オートバイ・自転車・ドライブ,代行サービス,運転代行サービス業
1109001,自動車・オートバイ・自転車・ドライブ,自動車教習所,自動車教習所
1110001,自動車・オートバイ・自転車・ドライブ,レンタカー,カーリース業
1110002,自動車・オートバイ・自転車・ドライブ,レンタカー,レンタカー業
1110003,自動車・オートバイ・自転車・ドライブ,レンタカー,レンタルバイク業
1111001,自動車・オートバイ・自転車・ドライブ,ロードサービス,レッカー車サービス業
1111002,自動車・オートバイ・自転車・ドライブ,ロードサービス,自動車ロードサービス業
1112002,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,モータースポーツショップ
1112003,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,カート場
1112004,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,サーキット場
1112005,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,スポーツカートクラブ
1112006,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,ダートコース場
1112007,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,オートバイ卸売業
1112008,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,オートバイ製造・卸オートバイ買取業
1112010,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,オートバイ販売・修理業
1112011,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,オートバイ部品・用品関連卸売業
1112013,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,カーディテイリングショップ
1112014,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,フォークリフト整備業
1112016,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,自転車部分品関連卸売業
1201001,販売・卸,商社・貿易,オーディオ製品買取業
1201002,販売・卸,商社・貿易,オートバイ買取自転車店
1201003,販売・卸,商社・貿易,オートバイ部品・用品オートバイ買取業
1201004,販売・卸,商社・貿易,おもちゃ買取業
1201008,販売・卸,商社・貿易,ピアノ買取業
1201009,販売・卸,商社・貿易,ブランド品買取業
1201015,販売・卸,商社・貿易,記念切手・コインショップ
1201024,販売・卸,商社・貿易,書籍販売取次業
1201025,販売・卸,商社・貿易,商社
1201028,販売・卸,商社・貿易,贈答品店リサイクルショップ
1201029,販売・卸,商社・貿易,中古ＣＤ買取業
1201035,販売・卸,商社・貿易,貿易業
1202035,販売・卸,食料品・飲料品（卸売）,飲料卸売業
1202043,販売・卸,食料品・飲料品（卸売）,海産物卸売業
1202048,販売・卸,食料品・飲料品（卸売）,給食用食品卸売業
1202050,販売・卸,食料品・飲料品（卸売）,業務用食料品卸売業
1202051,販売・卸,食料品・飲料品（卸売）,業務用調味料卸売業
1202070,販売・卸,食料品・飲料品（卸売）,茶卸売業
1202075,販売・卸,食料品・飲料品（卸売）,氷卸売業
1202077,販売・卸,食料品・飲料品（卸売）,冷凍水産物製造・卸売業
1202078,販売・卸,食料品・飲料品（卸売）,冷凍食肉製造・卸売業
1202079,販売・卸,食料品・飲料品（卸売）,冷凍食品卸売業
1202090,販売・卸,食料品・飲料品（卸売）,菓子卸売業
1202091,販売・卸,食料品・飲料品（卸売）,生鮮食品卸売業
1202094,販売・卸,食料品・飲料品（卸売）,食品加工卸売業
1202095,販売・卸,食料品・飲料品（卸売）,食料品卸売業
1202097,販売・卸,食料品・飲料品（卸売）,青果物卸売業
1202099,販売・卸,食料品・飲料品（卸売）,仲卸業
1202102,販売・卸,食料品・飲料品（卸売）,水産物卸売業
1202103,販売・卸,食料品・飲料品（卸売）,小麦粉・穀粉卸売業
1202104,販売・卸,食料品・飲料品（卸売）,食肉卸売業
1202105,販売・卸,食料品・飲料品（卸売）,魚市場
1203001,販売・卸,カー用品（卸売）,カー用品卸売業
1203007,販売・卸,カー用品（卸売）,自転車卸売業
1203010,販売・卸,カー用品（卸売）,自動車卸売業
1203011,販売・卸,カー用品（卸売）,自動車卸売・中古車買取業
1203015,販売・卸,カー用品（卸売）,自動販売機販売・取扱いサービス業
1204002,販売・卸,スポーツ用品関連（卸売）,スポーツ用品卸売業
1205001,販売・卸,衣料関連（卸売）,ズボン卸売業
1205002,販売・卸,衣料関連（卸売）,スポーツウェア卸売業
1205003,販売・卸,衣料関連（卸売）,スカート卸売業
1205004,販売・卸,衣料関連（卸売）,スカーフ卸売業
1205005,販売・卸,衣料関連（卸売）,ニット生地卸売業
1205006,販売・卸,衣料関連（卸売）,衣料卸売業
1206001,販売・卸,生活雑貨・日用品（卸売）,洋品雑貨卸売業
1206002,販売・卸,生活雑貨・日用品（卸売）,靴・履物卸売業
1206013,販売・卸,生活雑貨・日用品（卸売）,家具製造・卸売業
1206028,販売・卸,生活雑貨・日用品（卸売）,ノート・学習帳・事務用品製造・卸売業
1206101,販売・卸,生活雑貨・日用品（卸売）,化粧品製造・卸売業
1206102,販売・卸,生活雑貨・日用品（卸売）,日用品雑貨製造・卸売業
1206109,販売・卸,生活雑貨・日用品（卸売）,寝具類卸売業
1207001,販売・卸,電気・事務・設備機器（卸売）,ＯＡ機器卸売業
1207002,販売・卸,電気・事務・設備機器（卸売）,ガス機器卸売業
1207003,販売・卸,電気・事務・設備機器（卸売）,カラオケ装置卸売業
1207004,販売・卸,電気・事務・設備機器（卸売）,コンピューター関連卸売業
1207005,販売・卸,電気・事務・設備機器（卸売）,コンピューター・パソコン卸売業
1207006,販売・卸,電気・事務・設備機器（卸売）,パチンコ機械卸売業
1207007,販売・卸,電気・事務・設備機器（卸売）,テレビ受信機卸売業
1207011,販売・卸,電気・事務・設備機器（卸売）,エアコン卸売業
1207012,販売・卸,電気・事務・設備機器（卸売）,オーディオ機器卸売業
1207025,販売・卸,電気・事務・設備機器（卸売）,電気機械器具・部分品卸売業
1207027,販売・卸,電気・事務・設備機器（卸売）,消防用設備用品卸売業
1207030,販売・卸,電気・事務・設備機器（卸売）,通信用機械器具卸売業
1207033,販売・卸,電気・事務・設備機器（卸売）,電飾照明機械器具卸売業
1208005,販売・卸,卸売関連,医療用品卸売
1208006,販売・卸,卸売関連,圧縮ガス製造・卸売業
1208007,販売・卸,卸売関連,化学工業製品卸売業
1208028,販売・卸,卸売関連,喫茶材料卸売業
1208029,販売・卸,卸売関連,ＣＤ・ＤＶＤ・ビデオ・レコード卸売業
1208033,販売・卸,卸売関連,金属材料卸売業
1208046,販売・卸,卸売関連,クリーニング材料卸売業
1208056,販売・卸,卸売関連,パルプ材卸売業
1208063,販売・卸,卸売関連,光学機械器具卸売業
1208064,販売・卸,卸売関連,工作機械卸売業
1208070,販売・卸,卸売関連,骨とう品卸売業
1208071,販売・卸,卸売関連,香水卸売業
1208086,販売・卸,卸売関連,事務用機械器具卸売業
1208089,販売・卸,卸売関連,宿泊施設関連用品卸売業
1208092,販売・卸,卸売関連,娯楽用品・がん具卸売業
1208101,販売・卸,卸売関連,清掃用機械器具・用品卸売業
1208102,販売・卸,卸売関連,厨房・キッチン用機器・用品卸売業
1208107,販売・卸,卸売関連,宝石卸売業
1208108,販売・卸,卸売関連,刃物製造・卸売業
1208111,販売・卸,卸売関連,ビデオ配給業
1208116,販売・卸,卸売関連,土木建築材料卸売業
1208118,販売・卸,卸売関連,動物用薬品卸売業
1208119,販売・卸,卸売関連,ペット卸売業
1208120,販売・卸,卸売関連,ペット用品卸売業
1208121,販売・卸,卸売関連,火薬卸売業
1208122,販売・卸,卸売関連,家畜卸売業
1208125,販売・卸,卸売関連,石材卸売・石材製造業
1208135,販売・卸,卸売関連,非鉄金属・鉱物製品貿易
1208136,販売・卸,卸売関連,非鉄金属製品卸売業
1208138,販売・卸,卸売関連,観賞魚卸売業
1208139,販売・卸,卸売関連,理容・美容機器・用品卸売業
1208143,販売・卸,卸売関連,薬種卸売・医薬品卸売業
1208146,販売・卸,卸売関連,セラミックス・窯業原料関連卸売業
1208153,販売・卸,卸売関連,生薬卸売業
1208154,販売・卸,卸売関連,ペットフード卸売業
1209001,販売・卸,デパート・スーパー・ディスカウントショップ,スーパーマーケット
1209002,販売・卸,デパート・スーパー・ディスカウントショップ,ディスカウントショップ
1209003,販売・卸,デパート・スーパー・ディスカウントショップ,百貨店
1209004,販売・卸,デパート・スーパー・ディスカウントショップ,ホームセンター
1210001,販売・卸,コンビニエンスストア,コンビニエンスストア
1211001,販売・卸,道の駅,道の駅
1212028,販売・卸,食料品・嗜好品,パン屋・ベーカリー
1212039,販売・卸,食料品・嗜好品,駅弁売店
1212043,販売・卸,食料品・嗜好品,スイーツ・菓子小売業
1212044,販売・卸,食料品・嗜好品,水産物・海産物卸売業
1212052,販売・卸,食料品・嗜好品,乾物小売業
1212057,販売・卸,食料品・嗜好品,喫茶材料小売業
1212059,販売・卸,食料品・嗜好品,業務用食料品小売業
1212061,販売・卸,食料品・嗜好品,健康・自然食品小売業
1212071,販売・卸,食料品・嗜好品,食肉小売業
1212073,販売・卸,食料品・嗜好品,食料雑貨小売業
1212074,販売・卸,食料品・嗜好品,水産加工業
1212075,販売・卸,食料品・嗜好品,青果物店・八百屋・果物屋
1212080,販売・卸,食料品・嗜好品,鮮魚小売業
1212083,販売・卸,食料品・嗜好品,茶小売業
1212085,販売・卸,食料品・嗜好品,中華料理材料小売業
1212086,販売・卸,食料品・嗜好品,調味料小売業
1212089,販売・卸,食料品・嗜好品,豆菓子店
1212091,販売・卸,食料品・嗜好品,豆類小売業
1212095,販売・卸,食料品・嗜好品,米穀類小売業
1212099,販売・卸,食料品・嗜好品,明太子店
1212107,販売・卸,食料品・嗜好品,卵・鳥肉小売業
1212110,販売・卸,食料品・嗜好品,コーヒー小売業
1212112,販売・卸,食料品・嗜好品,牛乳小売業
1212113,販売・卸,食料品・嗜好品,飲料小売業
1212114,販売・卸,食料品・嗜好品,生ジュース店
1212115,販売・卸,食料品・嗜好品,たばこ・喫煙具専門小売店
1212117,販売・卸,食料品・嗜好品,酒店・酒屋
1213016,販売・卸,衣料関連（小売）,ベビー・キッズ・マタニティー用品小売業
1213021,販売・卸,衣料関連（小売）,衣料品小売業
1213023,販売・卸,衣料関連（小売）,下着小売業
1213036,販売・卸,衣料関連（小売）,生地商社
1213045,販売・卸,衣料関連（小売）,服地商社
1213046,販売・卸,衣料関連（小売）,服地小売業
1213055,販売・卸,衣料関連（小売）,洋裁店
1213056,販売・卸,衣料関連（小売）,洋品店
1213057,販売・卸,衣料関連（小売）,洋服店
1213059,販売・卸,衣料関連（小売）,和装小物製造・小売業
1214002,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,化粧品製造・小売業
1214004,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,化粧品小売業関連
1214005,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,装身具製造・小売業
1214011,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,金器・銀器小売業
1214013,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,宝石小売業
1214018,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,かさ専門店
1214021,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,かばん・袋物小売業
1214025,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,ベルトショップ
1214028,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,履物小売業
1214029,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,アジア雑貨店
1214030,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,アメリカ雑貨販売店
1214031,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,ガラス工芸品小売業
1214036,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,工芸品小売業
1214039,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,ちりめん小売業
1214040,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,テープ・リボン小売業
1214042,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,額装・額縁小売業
1214043,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,手芸店
1214044,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,西洋人形製造・小売業
1214045,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,太鼓小売業
1214046,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,竹工芸品小売業
1214049,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,美術品小売業
1214062,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,書画・骨とう品小売業
1214063,販売・卸,化粧品・装身具・装飾品・民芸品（小売）,やきもの工芸小売業
1215002,販売・卸,インテリア・生活雑貨（小売）,インテリア用品小売業
1215016,販売・卸,インテリア・生活雑貨（小売）,家具小売業
1215021,販売・卸,インテリア・生活雑貨（小売）,食器製造・小売業
1215027,販売・卸,インテリア・生活雑貨（小売）,陶工芸小売業
1215028,販売・卸,インテリア・生活雑貨（小売）,日用雑貨小売業
1215056,販売・卸,インテリア・生活雑貨（小売）,手芸用品小売業
1216003,販売・卸,書籍・文具（小売）,教科書小売業
1216004,販売・卸,書籍・文具（小売）,古本屋
1216008,販売・卸,書籍・文具（小売）,書店
1216014,販売・卸,書籍・文具（小売）,文具・事務用品店
1216021,販売・卸,書籍・文具（小売）,ＣＤ・ＤＶＤ・ビデオ・レコード店
1216024,販売・卸,書籍・文具（小売）,はんこ店（印鑑・印章・ゴム印）
1217001,販売・卸,スポーツ用品・趣味用品（小売）,アウトドアショップ
1217005,販売・卸,スポーツ用品・趣味用品（小売）,おもちゃ・玩具店
1217012,販売・卸,スポーツ用品・趣味用品（小売）,ゴルフ用品小売業
1217022,販売・卸,スポーツ用品・趣味用品（小売）,スポーツ用品小売業
1217044,販売・卸,スポーツ用品・趣味用品（小売）,囲碁・将棋用品小売業
1217050,販売・卸,スポーツ用品・趣味用品（小売）,楽器店・楽器小売業
1217058,販売・卸,スポーツ用品・趣味用品（小売）,人形製造・小売業
1217074,販売・卸,スポーツ用品・趣味用品（小売）,切手・コインショップ
1218002,販売・卸,電気機器・事務機器（小売）,AV・オーディオ関連製品小売業
1218003,販売・卸,電気機器・事務機器（小売）,コンピューターＯＡ機器販売・修理業
1218006,販売・卸,電気機器・事務機器（小売）,パソコンショップ
1218009,販売・卸,電気機器・事務機器（小売）,健康機器小売業
1218015,販売・卸,電気機器・事務機器（小売）,電器店
1218017,販売・卸,電気機器・事務機器（小売）,電気機械器具小売業
1219001,販売・卸,時計・カメラ（小売）,カメラ小売業
1219002,販売・卸,時計・カメラ（小売）,カメラ買取業
1219003,販売・卸,時計・カメラ（小売）,事務用機械器具小売業
1219004,販売・卸,時計・カメラ（小売）,時計小売業
1220001,販売・卸,ペット・ペット関連用品（小売）,ペット小売業
1220005,販売・卸,ペット・ペット関連用品（小売）,ペットショップ・用品小売業
1220009,販売・卸,ペット・ペット関連用品（小売）,ペット美容室・ペット用品小売業
1220010,販売・卸,ペット・ペット関連用品（小売）,ペット保険・ペット用品小売業
1220013,販売・卸,ペット・ペット関連用品（小売）,ペット用品販売・ペットホテル
1220019,販売・卸,ペット・ペット関連用品（小売）,昆虫小売業
1221001,販売・卸,眼鏡・コンタクトレンズ（小売）,コンタクトレンズ小売業
1221003,販売・卸,眼鏡・コンタクトレンズ（小売）,眼鏡小売業
1222001,販売・卸,おもちゃ（小売）,知育玩具小売業
1222002,販売・卸,おもちゃ（小売）,パーティーグッズショップ
1222003,販売・卸,おもちゃ（小売）,おもちゃ小売業
1223004,販売・卸,仏壇・仏具（小売）,寺院用具仏壇・仏具店
1223010,販売・卸,仏壇・仏具（小売）,仏壇・仏具小売業
1224003,販売・卸,小売関連,ガーデニングショップ
1224005,販売・卸,小売関連,カタログ小売業
1224012,販売・卸,小売関連,ポスター・ブロマイド店
1224019,販売・卸,小売関連,ステンレス製品小売業
1224029,販売・卸,小売関連,ビリヤードショップ
1224032,販売・卸,小売関連,１０００円ショップ
1224033,販売・卸,小売関連,１００円ショップ
1224034,販売・卸,小売関連,アイデア商品店
1224035,販売・卸,小売関連,アウトレットショップ
1224038,販売・卸,小売関連,インターネット通販業
1224040,販売・卸,小売関連,ミシン小売業
1224042,販売・卸,小売関連,みやげ品店
1224045,販売・卸,小売関連,演劇用具・演劇衣装関連
1224047,販売・卸,小売関連,花環店
1224049,販売・卸,小売関連,画廊
1224050,販売・卸,小売関連,介護用品小売業
1224052,販売・卸,小売関連,楽器商オーディオ製品小売業
1224055,販売・卸,小売関連,官報販売所
1224056,販売・卸,小売関連,観葉植物小売業
1224062,販売・卸,小売関連,金物店
1224069,販売・卸,小売関連,骨とう品小売業
1224081,販売・卸,小売関連,植木小売業
1224083,販売・卸,小売関連,刃物小売業
1224085,販売・卸,小売関連,生花店
1224088,販売・卸,小売関連,石油ストーブ小売業
1224090,販売・卸,小売関連,贈答品小売業
1224093,販売・卸,小売関連,段ボールテープ・リボン小売業
1224096,販売・卸,小売関連,茶園
1224097,販売・卸,小売関連,中古ＣＤ・ＤＶＤ・ビデオ・レコード店
1224100,販売・卸,小売関連,中古おもちゃ小売業
1224102,販売・卸,小売関連,中古ゴルフショップ
1224104,販売・卸,小売関連,中古ブランド品小売業
1224106,販売・卸,小売関連,中古楽器小売業
1224107,販売・卸,小売関連,中古品小売業
1224108,販売・卸,小売関連,通信販売・訪問販売小売業
1224110,販売・卸,小売関連,塗料小売業
1224113,販売・卸,小売関連,燃料小売業
1224117,販売・卸,小売関連,宝くじ売り場
1224126,販売・卸,小売関連,福祉用自動車・部品・用品小売業
1224128,販売・卸,小売関連,包装・梱包材料小売業
1224130,販売・卸,小売関連,毛糸小売業
1301004,その他サービス,理容・美容業,美容室・美容院
1301005,その他サービス,理容・美容業,理容店
1302001,その他サービス,クリーニング業,インテリアクリーニング業
1302003,その他サービス,クリーニング業,クリーニング業
