BUSINESS_CODE,BUSINESS_NAME_L,BUSINESS_NAME_M,BUSINESS_NAME_S
1104002,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,ポリマー加工業
1104003,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,キャンピングカー修理業
1104004,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,レーシングカー整備業
1104007,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自転車修理・整備業
1104012,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車修理・整備業
1104013,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車修理・清掃業
1104015,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車整備・自転車販売業
1104016,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車整備・解体業
1104017,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車整備・鈑金・塗装業
1104018,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車中古部品・整備業
1104020,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車電装品修理業
1104023,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車内装業
1104027,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,中古車買取・鈑金・塗装業
1104028,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車整備業
1104999,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車修理・整備関連
1105001,自動車・オートバイ・自転車・ドライブ,洗車・洗車場,自動車洗車業
1105999,自動車・オートバイ・自転車・ドライブ,洗車・洗車場,洗車・洗車場関連
1106003,自動車・オートバイ・自転車・ドライブ,パーキング・駐輪場,駐車場業
1106004,自動車・オートバイ・自転車・ドライブ,パーキング・駐輪場,駐輪場業
1106999,自動車・オートバイ・自転車・ドライブ,パーキング・駐輪場,駐車場・駐輪場関連
1107001,自動車・オートバイ・自転車・ドライブ,ガソリンスタンド,液化石油ガス（ＬＰＧ）スタンド
1107003,自動車・オートバイ・自転車・ドライブ,ガソリンスタンド,ガソリンスタンド
1107999,自動車・オートバイ・自転車・ドライブ,ガソリンスタンド,ガソリンスタンド関連
1108001,自動車・オートバイ・自転車・ドライブ,代行サービス,車検代行サービス業
1108002,自動車・オートバイ・自転車・ドライブ,代行サービス,中古車買取車検代行サービス業
1108003,自動車・オートバイ・自転車・ドライブ,代行サービス,運転代行サービス業
1108999,自動車・オートバイ・自転車・ドライブ,代行サービス,代行サービス業関連
1109001,自動車・オートバイ・自転車・ドライブ,自動車教習所,自動車教習所
1109999,自動車・オートバイ・自転車・ドライブ,自動車教習所,自動車教習所関連
0111001,官公庁・団体・福祉,生活協同組合,生活協同組合
0111999,官公庁・団体・福祉,生活協同組合,生活協同組合関連
1110001,自動車・オートバイ・自転車・ドライブ,レンタカー,カーリース業
1110002,自動車・オートバイ・自転車・ドライブ,レンタカー,レンタカー業
1110003,自動車・オートバイ・自転車・ドライブ,レンタカー,レンタルバイク業
1110999,自動車・オートバイ・自転車・ドライブ,レンタカー,レンタカー関連
1111001,自動車・オートバイ・自転車・ドライブ,ロードサービス,レッカー車サービス業
1111002,自動車・オートバイ・自転車・ドライブ,ロードサービス,自動車ロードサービス業
1111999,自動車・オートバイ・自転車・ドライブ,ロードサービス,ロードサービス業関連
1112002,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,モータースポーツショップ
1112003,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,カート場
1112004,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,サーキット場
1112005,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,スポーツカートクラブ
1112006,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,ダートコース場
1112007,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,オートバイ卸売業
1112008,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,オートバイ製造・卸オートバイ買取業
1112010,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,オートバイ販売・修理業
1112011,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,オートバイ部品・用品関連卸売業
1112013,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,カーディテイリングショップ
1112014,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,フォークリフト整備業
1112016,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,自転車部分品関連卸売業
1112999,自動車・オートバイ・自転車・ドライブ,自動車・オートバイ・自転車・ドライブ関連,自動車・オートバイ・自転車・ドライブ関連
